kata,arti,kelas_kata
hantu kocong,hantu pocong,
hantu laut,hantu yang menjaga atau menghuni laut,
hantu pemburu,"hantu yang menyerupai anjing, asalnya dari nyawa pemburu",
hantu pocong,hantu yang menyerupai mayat terbungkus kafan,
hantu puaka,hantu jembalang,
hantu raya,hantu piaraan untuk menjadi pengawal tuannya,
hantu rimba,hantu yang menjadi penjaga atau penghuni rimba,
hantu runjung,"hantu yang mula-mula kelihatan kecil, lalu berubah menjadi besar",
hantu suluh,hantu yang biasa kelihatan pada malam hari berkejar-kejaran dengan suluhnya seperti orang menangkap ikan,
hantu sungai,hantu yang menjaga atau menghuni sungai,
hantu tanah,hantu jembalang,
hantu tuyul,hantu piaraan untuk disuruh pemiliknya mencuri uang pada malam hari,
hantu-hantuan,-,-
hanud,-,-
hanwil,-,-
hanya,-,-
ha.nya.sa.nya,→ hanya,
hanyut,-,-
"hanyut dipintasi, lulus diselami, hilang dicari",keharusan menolong orang yang ditimpa musibah,
hanyutan,-,-
hanyutan nol,-,-
hap,-,-
hapaheman,-,-
hapaksantik,-,-
ha.pal,→ hafal,
hapang,-,-
hapax legomena,-,-
hapesong,-,-
hapetan,-,-
haplografi,-,-
haploid,-,-
haplologi,-,-
haplomorf,-,-
haptik,-,-
haptofobia,-,-
hapunggul,-,-
hapus,-,-
hapus buku,-,-
hara,-,-
ha.ra.fi.ah,→ harfiah,
harak,-,-
harakah,-,-
harakat,-,-
harakiri,-,-
haram,-,-
haram jadah,"anak yang lahir di luar perkawinan yang sah, anak yang tidak sah, anak zadah",
haram zadah,haram jadah,
haramonting,-,-
harangan,-,-
harap,-,-
harap siarkan,-,-
harap-harap,-,-
harap-harap cemas,"gelisah, khawatir, bimbang",
harap-harapan,-,-
harapan,-,-
harapan hidup,kemungkinan tetap hidup,
harapan hidup,kemungkinan dapat hidup lebih lama,
harapan tak putus sampai jerat tersentak rantus,tidak mau berputus asa sampai saat terakhir,
"harapkan guruh (guntur) di langit, air di tempayan ditumpahkan","mengharapkan sesuatu yang belum tentu, barang yang telah ada dilepaskan",
harapu,-,-
haraun,-,-
ha.ra.wan,→ tunggang (3),
harbi,-,-
hardik,-,-
hardikan,-,-
hardiknas,-,-
harem,-,-
harendong,-,-
harendong bulu,akar senduduk,
harfan,-,-
harfiah,-,-
harga,-,-
harga asli,-,-
harga baku,harga yang menjadi dasar harga,
harga banderol,harga menurut yang tertulis pada pita cukai (yang ditetapkan oleh pemerintah),
harga bantingan,-,-
harga beli,harga pada waktu membeli,
harga bersaing,-,-
harga bersih,-,-
harga borongan,harga yang ditetapkan untuk barang dalam jumlah besar,
harga catut,harga (karcis dan sebagainya) yang dibeli pada tukang catut,
harga dasar,-,-
harga diri,kesadaran akan berapa besar nilai yang diberikan kepada diri sendiri,
harga eceran,harga tiap satuan barang,
harga EZ,harga dasar yang ditetapkan oleh pemerintah,
harga gelap,harga yang melanggar ketentuan pemerintah,
harga gila,harga yang terlalu mahal,
harga hidup harga mati,denda adat (di Manado) yang dijatuhkan kepada seseorang yang melukai atau membunuh orang,
harga impas,"jumlah pendapatan per unit yang diperlukan untuk menyediakan usaha yang berkelanjutan secara ekonomi, dihitung dengan cara membagi biaya (misalnya juta rupiah/hektar) dengan kuantitas produksi (misalnya ton/hektar)",
harga jadi,harga yang disepakati sesudah tawar-menawar,
harga jenuh,harga tertentu yang tidak mengakibatkan kenaikan dalam permintaan walaupun harga itu diturunkan lagi,
harga jual,harga pada waktu menjual,
harga karet,harga yang dapat ditawar (bukan harga mati),
harga kawin,maskawin,
harga keekonomian,-,-
harga kelangkaan,-,-
harga kelas,-,-
harga kompetitif,harga bersaing,
harga langganan,-,-
harga maksimal,-,-
harga mati,harga yang tidak dapat ditawar lagi,
harga melawan,-,-
harga minimal,-,-
harga minimum,harga terendah,
harga miring,-,-
harga nominal,harga menurut yang tertulis,
harga obral,"harga yang diturunkan, harga murah",
harga pabrik,-,-
harga pagu,-,-
harga pas,"harga yang tidak dapat ditawar lagi, harga mati",
harga pasar,harga penjualan di pasaran umum,
harga pemerintah,harga yang ditetapkan oleh pemerintah,
harga perdana,harga yang ditawarkan pertama kali,
harga perkakas merimba,-,-
harga pokok,"harga yang diperhitungkan dari ongkos pembuatan, bahan baku, dan sebagainya (belum mengambil untung)",
harga pokok penjualan,jumlah biaya yang dikeluarkan untuk pengadaan barang yang telah terjual atau jasa yang telah diberikan,
harga pokok produksi,jumlah biaya yang dikeluarkan untuk membuat barang,
harga promosi,-,-
harga resmi,harga yang ditentukan oleh instansi pemerintah,
harga runcit,harga eceran,
harga tentatif,-,-
harga tercantum,-,-
harga tercatat,harga resmi suatu barang sebelum dikurangi dengan potongan,
harga terendah,"harga termurah untuk suatu barang atau jasa, biasanya ditetapkan oleh pemerintah",
harga tertinggi,"harga termahal untuk suatu barang atau jasa, biasanya ditetapkan oleh pemerintah",
harga tunai,"harga yang dibebankan jika pembayaran diselesaikan dalam waktu yang ditentukan, yaitu lazimnya dalam 30 hari",
harga umpan,harga produk atau jasa yang sangat rendah yang ditawarkan untuk menarik pelanggan beralih ke produk atau jasa lain,
harganas,-,-
hari,-,-
hari acara,-,-
hari Arafah,hari jemaah haji berkumpul di Padang Arafah untuk mengerjakan wukuf pada tanggal 9 Zulhijah,
hari Ayah,"hari yang ditetapkan untuk menghormati para ayah, secara internasional dirayakan setiap hari Minggu ketiga di bulan Juni dan secara nasional setiap tanggal 12 November",
"hari baik, bulan baik",hari ketika perayaan Lebaran,
hari batal,-,-
hari berbangkit,-,-
hari bersalju,hari dengan adanya salju paling sedikit di atas separuh permukaan tanah yang terlihat dari stasiun pengamatan,
hari besar,hari yang dirayakan untuk memperingati suatu peristiwa penting,
hari bulan,tanggal (tarikh),
hari Buruh,hari peringatan kemenangan kaum buruh (tanggal 1 Mei),
hari buruk,"hari pada waktu terjadi sesuatu yang tidak menyenangkan seperti kecelakaan, kehilangan, hari nahas, hari sial",
hari depan,"masa yang akan datang, hari nanti",
hari es,hari dengan suhu maksimum lebih rendah daripada 0°C,
hari esok,masa yang akan datang,
hari hisab,"hari mahsyar, hari kiamat",
hari Ibu,hari peringatan gerakan kaum perempuan Indonesia (tanggal 22 Desember),
hari ibun,hari dengan suhu udara minimum 0°C atau lebih rendah daripada itu,
hari jadi,hari kelahiran,
hari jadi,saat pertama kali digunakan atau selesai dibuat atau diresmikan,
hari jatuh,-,-
hari jumat agung,-,-
hari Jumat Besar,hari Jumat Agung,
hari karier,hari yang disediakan untuk mendapatkan informasi mengenai kesempatan dan dunia kerja dari narasumber melalui ceramah dan sebagainya sehingga dapat memperluas wawasan siswa,
hari kasih sayang,hari untuk menyampaikan penghormatan kepada Santo Valentinus,
hari kasih sayang,"hari untuk menyampaikan hadiah atau salam, khususnya kepada orang yang dikasihi (pada setiap tanggal 14 Februari), hari valentine",
hari kelahiran,hari lahir,
hari kemerdekaan,hari untuk merayakan hari jadi atau kemerdekaan suatu negara,
hari kemudian,hari akhir zaman (hari kiamat),
hari kemudian,kelak,
hari kerja,hari untuk bekerja,
hari kiamat,"hari berakhirnya kehidupan dunia ini yang ditandai dengan kehancuran bumi dan benda angkasa, bersamaan dengan dibangkitkannya kembali orang-orang yang telah meninggal untuk diadili perbuatannya yang sudah-sudah",
hari krida,"hari untuk berlatih keterampilan, olahraga, kerajinan tangan, kesenian, dan sebagainya",
hari lahir,hari ketika dilahirkan ke dunia,
hari Lebaran,Idulfitri,
hari libur,hari istirahat (tidak bekerja atau bersekolah),
hari lunasan,-,-
hari mahsyar,-,-
hari matahari,hari yang panjangnya ditentukan oleh matahari,
hari nahar,hari penyembelihan kurban (pada Iduladha),
hari nahas,"hari yang menurut perhitungan dianggap kurang baik, hari sial",
hari nanti,hari depan,
hari Natal,hari raya kelahiran Yesus,
hari Pahlawan,hari peringatan bagi para pahlawan Indonesia yang telah gugur (tanggal 10 November),
hari panen,waktu memetik hasil dan buah,
hari pekan,hari ketika di pasar ada (banyak) kegiatan jual beli,
hari pembalasan,hari kiamat,
hari peringatan,hari untuk memperingati suatu peristiwa,
hari raya,"hari yang dirayakan untuk memperingati sesuatu yang penting dan sebagainya, hari besar",
hari raya,"Idulfitri, Lebaran",
hari Raya Haji,Iduladha,
hari raya Iduladha,Iduladha,
hari raya Idulfitri,Idulfitri,
hari Raya Kurban,Iduladha,
hari samar muka,"petang hari, apabila muka orang sudah tidak nyata kelihatan",
hari saraswati,-,-
hari sekolah,hari waktu anak-anak masuk sekolah (tidak libur),
hari setelah sebar,-,-
hari setelah tanam,-,-
hari sial,hari nahas,
hari sideris,-,-
hari takwim,"waktu selama 24 jam, dimulai dari pukul 00.00–24.00",
hari takwim,sepertiga ratus enam puluh lima bagian dari satu tahun matahari yang dinyatakan dalam hari dengan satu periode bumi mengelilingi matahari,
hari tarwiah,tanggal 8 Zulhijah sebagai hari jemaah haji meninggalkan Makkah untuk menuju Padang Arafah melaksanakan wukuf,
hari tasyrik,-,-
hari tua,masa ketika orang telah tua,
hari tunai,-,-
hari ulang tahun,hari yang bertepatan dengan tanggal dan bulan lahir (seseorang atau sesuatu),
hari ulang tahun,hari lahir,
hari Valentin,hari penyampaian atau pernyataan pesan kasih sayang (pada tanggal 14 Februari),
hari-h,-,-
harian,-,-
haribaan,-,-
harimau,-,-
harimau akar,kucing bakau,
harimau belang,harimau loreng,
harimau campa,harimau loreng di Sumatra,
harimau dahan,"macan berukuran sedang, memiliki tutul besar di kaki dan perut, rambut berwarna emas kelabu dengan corak menyerupai awan, macan dahan",
harimau dandi,harimau loreng,
harimau ditakuti karena giginya,orang besar dan berpangkat hanya ditakuti orang karena kekuasaan dan pangkatnya,
harimau kumbang,"macan tutul berambut hitam atau cokelat tua di seluruh tubuhnya akibat pengaruh pigmentasi melanistik, macan kumbang, panter",
harimau loreng,"harimau yang memiliki mantel berwarna oranye kemerahan dengan garis hitam vertikal di tubuhnya, kaki depan kuat dan lebar dengan kuku panjang",
harimau mati karena belangnya,mendapat kecelakaan karena memperlihatkan keunggulannya,
"harimau mati meninggalkan belang, gajah mati meninggalkan gading",orang yang berjasa akan selalu disebut-sebut orang walaupun telah mati,
"harimau mati meninggalkan belang, gajah mati meninggalkan gading, orang mati meninggalkan nama","orang baik akan selalu meninggalkan nama baik, sedangkan orang jahat akan meninggalkan nama buruk",
harimau mengaum takkan menangkap,"orang yang mengancam dan sebagainya dengan perkataan keras, biasanya tidak sampai berbuat apa-apa",
harimau menunjukkan belangnya,orang yang memperlihatkan kekuasaannya,
harimau peturun,harimau kumbang,
harimau tasmania,-,-
harimau tunggal,harimau belang,
haring,-,-
harini,-,-
haris,-,-
harisah,-,-
harit,-,-
harkat,-,-
harkitnas,-,-
harlah,-,-
harmatan,-,-
harmika,-,-
harmoni,-,-
harmonik,-,-
harmonika,-,-
harmonis,-,-
harmonisasi,-,-
harmonium,-,-
har.nal,tusuk konde,
harnet,-,-
haroa,-,-
harpa,-,-
harpa aeolian,-,-
harpaksofobia,-,-
harpis,-,-
harpitnas,-,-
harpun,-,-
hart,-,-
harta,-,-
harta bawaan,-,-
harta beku,-,-
harta benda,barang kekayaan,
harta bersama,-,-
harta bersih,nilai harta kekayaan suatu organisasi dagang sesudah dikurangi dengan semua kewajiban,
harta berwujud,-,-
harta besar,harta kawin dalam jumlah besar yang melebihi jumlah yang ditentukan oleh adat,
harta binatok,harta bawaan mempelai laki-laki,
harta carian,"harta yang diperoleh suami istri selama hidup bersama, gana-gini",
harta dapean,harta kepunyaan istri,
harta dunia,barang-barang duniawi,
harta imaterial,-,-
harta karun,harta benda yang tidak diketahui pemiliknya,
harta karun,harta benda yang didapat dengan tidak sah,
harta kawin,benda-benda berharga atau uang yang harus diberikan oleh pihak laki-laki kepada pihak wanita dalam proses perkawinan,
harta kekayaan halal,-,-
harta kekayaan menyanak,semua harta peninggalan yang menjadi tanggung jawab sanak keluarga,
harta kelalah,"harta peninggalan dari seseorang (karena meninggal dunia), yang tidak mempunyai anak dan bapak",
harta kubur,benda atau harta milik orang yang meninggal yang ikut dikuburkan bersamanya,
harta lancar,-,-
harta manah,-,-
harta milik,barang-barang yang menjadi milik atau kepunyaan orang atau badan,
harta pelayaran,harta perseorangan yang dikumpulkan selama merantau,
harta pembawaan,harta bawaan,
harta pembujangan,harta bawaan mempelai laki-laki,
harta pemenah,harta pembujangan,
harta penantian,"harta istri, baik yang dibawa maupun yang diperolehnya selama perkawinan",
harta pencaharian,harta yang didapat dari pencaharian nafkah sehari-hari,
harta pendapatan,harta dari pihak perempuan,
harta peninggalan,barang warisan dari seseorang yang meninggal,
harta penyepogan,"harta yang bersama-sama diusahakan dan diperoleh suami dan istri selama perkawinan, harta carian, gana-gini",
harta perkawinan,kesatuan harta yang dikuasai dan dimiliki oleh suatu keluarga selama perkawinannya,
harta pusaka,-,-
harta pusaka bapak,setengah dari harta warisan seorang bapak yang harus dibagi di antara anak-anak dari istri yang berbeda-beda,
harta pusaka rendah,harta yang ditinggalkan oleh seorang wanita bagi anak-anaknya,
harta sangsaka,"harta yang sebenarnya harus diberikan kepada menantu laki-laki, tetapi yang dengan izin keluarga boleh dipakai oleh anak-anak laki-laki",
harta sesan,harta atau bawaan istri yang dibawa oleh istri itu ke dalam perkawinan,
harta surut,"harta yang makin lama makin habis dan tidak dapat diganti, misalnya tambang emas, sumur minyak",
harta tak-berwujud,-,-
harta tersembunyi,-,-
harta tetap,kekayaan perusahaan yang berada dalam keadaan tidak akan kembali menjadi uang dalam waktu satu tahun sejak pemerolehannya,
harta tua,harta kepunyaan kerabat wanita menurut garis keturunan matrilineal,
harta usaha,"sediaan bahan baku, barang olahan dan barang jadi, piutang, dan uang tunai",
harta wujud,"kekayaan perusahaan berupa barang dan uang, misalnya pabrik, sediaan, dan piutang",
hartal,-,-
hartawan,-,-
hartib,-,-
haru,-,-
haru biru,-,-
haru-haru,-,-
haruan,-,-
harum,-,-
harum manis,"permen kapas, gulali",
harum menghilangkan bau,keburukan tidak kelihatan karena tertutup oleh nama (perbuatan) yang baik,
harum semerbak mengandung mala,"perbuatan (jasa dan sebagainya) yang dipuji-puji, tetapi jasa tersebut diperbuat dengan jalan yang tidak baik",
harum-haruman,-,-
harun,-,-
harungguan,-,-
harus,-,-
has,-,-
has dalam,-,-
has luar,-,-
hasab,-,-
hasad,-,-
hasai,-,-
hasan,-,-
hasanah,-,-
hasapi,-,-
hasar,-,-
has.duk,→ halsduk,
hasib,-,-
hasid,-,-
hasil,-,-
hasil bagi,-,-
hasil bumi,"semua jenis barang yang dihasilkan dari usaha lingkungan pertanian, hasil pertanian",
hasil elusi,-,-
hasil hidrolisis,-,-
hasil hutan,"barang-barang yang didapat dari tumbuhan dalam hutan (seperti rotan, damar, kayu)",
hasil ikutan,"hasil tambahan, yang diperoleh di luar hasil pokok (seperti yang terdapat pada pabrik gas)",
hasil kali,-,-
hasil kepala padi,pajak yang dikenakan terhadap orang yang mendapatkan izin untuk mengerjakan tanah,
hasil keterlarutan,-,-
hasil lestari,-,-
hasil mahsul,berbagai hasil (produksi) yang dihasilkan oleh suatu negara,
hasil metabolisme,-,-
hasil pancung alas,pajak terhadap hasil hutan yang diambil oleh pendatang,
hasil perkawinan,"hal-hal yang didapat setelah terjadinya perkawinan yang sah berdasarkan adat kebudayaan, agama, dan peraturan hukum yang berlaku",
hasil reaksi,-,-
hasil rotan,pajak sebesar 10% dari hasil rotan yang akan dijual ke luar,
hasil sampingan,"hasil yang diperoleh di luar hasil pokok, hasil ikutan",
hasil sepuluh satu,pajak sebesar 10% yang dikenakan terhadap hasil-hasil hutan yang dikumpulkan,
hasil tambang,"barang-barang yang didapat dari pertambangan (seperti batu bara, besi, minyak tanah)",
hasil tanah,pajak tanah,
hasil tanah,hasil bumi,
hasil tanah,retribusi yang harus diberikan pendatang karena mengambil hasil hutan atau membuka ladang,
hasil tiga,pajak terhadap barang-barang yang dijual di pasar,
hasil tindak pidana,-,-
hasil turut,hasil ikutan,
hasil utama,hasil yang pokok atau yang terutama,
hasrat,-,-
hasrat budaya,dorongan dalam bentuk baru berkat pengaruh kebudayaan,
hasrat budaya pemilikan,"kecenderungan manusia mencari, memperoleh, menggunakan, dan menyimpan barang",
hasrat budaya wilayah,"kecenderungan manusia mendapat ruang hidup yang sepadan, baik yang berbentuk fisik, psikologis, maupun keorganisasian",
hasta,-,-
hasta karya,kerajinan tangan,
hastakutub,-,-
hastawara,-,-
hasud,-,-
hasut,-,-
hasutan,-,-
hasyiah,-,-
hasyis,-,-
hati,-,-
hati (sebagai) baling-baling,tidak tetap pendirian,
hati bagai baling-baling (baling-baling di atas bukit),tidak tetap hatinya (pendiriannya),
hati bak sirangkak dibungkus,orang yang sangat berharap akan mendapat sesuatu yang diingininya,
"hati gajah sama dilapah, hati kuman (tungau) sama dicecah (dicecap)","perolehan (laba) yang banyak dibagi sama banyak, perolehan (laba) yang sedikit dibagi juga sama sedikit",
"hati gajah sama dilapah, hati tuma (tungau) sama dicecah",laba atau rugi sama-sama dirasakan (dibagi secara adil),
"hati gatal, mata digaruk","sangat ingin, tetapi tidak kuasa menyampaikan keinginannya itu, menyalahkan orang yang tidak bersalah",
hati kecil,perasaan hati sebenarnya,
hati kedondong,bagian dalam buah kedondong yang keras dan bercabang-cabang,
hati kedondong,-,-
hati nurani,hati yang telah mendapat cahaya Tuhan,
hati nurani,perasaan hati yang murni dan yang sedalam-dalamnya,
hati sanubari,perasaan batin,
hati tangan,lekuk pada telapak tangan,
hati tawajuh,hati yang telah diarahkan benar-benar kepada Tuhan,
hati terbuka,senang hati,
hati terbuka,lurus hati,
hati terlonjak,sangat girang,
hati terlonjak,"menjadi sombong (karena pangkat, kedudukan, dan sebagainya)",
"hati yang suka, peringan beban",pekerjaan yang dilakukan dengan ikhlas akan terasa ringan,
hati-hati,-,-
hatif,-,-
hatta,-,-
hatta maka,hatta,
hatupele,-,-
haturi,-,-
haud,-,-
haudah,-,-
haukalah,-,-
haul,-,-
haur,-,-
haur uljanati,bidadari surga,
hau.ri,→ haur,
haus,-,-
haus akan,-,-
haus dahaga,amat sangat dahaga,
haus dahaga,terlalu ingin akan,
haus darah,-,-
haustorium,-,-
haute couture,-,-
haute cuisine,-,-
havana,-,-
hawa,-,-
hawa daba,"gerakan (aliran) udara yang menyatakan bahwa ada sesuatu yang bergerak, bau suatu benda yang dibawa oleh udara",
hawa nafsu,"desakan hati dan keinginan keras (untuk menurutkan hati, melepaskan marah, dan sebagainya)",
"hawa pantang kerendahan, nafsu pantang kekurangan",tidak mau kalah dengan orang lain,
hawar,-,-
hawar-hawar,-,-
hawara,-,-
hawari,-,-
hawiah,-,-
hawik,-,-
hawu,-,-
hayat,-,-
hayati,-,-
hayo,-,-
hazad,-,-
hb,-,-
he,-,-
hear,-,-
heban,-,-
hebat,-,-
hebat-hebatan,-,-
hebefilia,-,-
hebefrenia,-,-
hebel,-,-
heboh,-,-
hebras,-,-
hebring,-,-
hechtnietjes,-,-
hedonis,-,-
hedonisme,-,-
hedonistik,-,-
hedonofobia,-,-
hegah,-,-
hegelianisme,-,-
hegemon,-,-
hegemoni,-,-
hegemoni keduniawian,kondisi ketika gagasan keduniawian mengalahkan kesucian,
hegemoni kesucian,"hegemoni ketika ide, gagasan, dan kesadaran tentang kesucian kesederhanaan, kemurahan hati, dan asketisme memenangi pertarungan melawan gagasan keduniawian, seperti penampilan, gaya hidup, atau kemewahan",
hegemoni tandingan,-,-
hegemonik,-,-
hegemonisme,-,-
hegi,-,-
heiho,-,-
heksa-,-,-
heksadaktili,-,-
heksadesimal,-,-
heksagon,-,-
heksagonal,-,-
heksahedron,-,-
heksaklorida,-,-
heksakosioiheksekontaheksafobia,-,-
heksameter,-,-
heksamina,-,-
heksana,-,-
heksapoda,-,-
heksasiklik,-,-
heksasitik,-,-
heksil,-,-
heksosa,-,-
hek.tar,→ hektare,
hektare,-,-
hekto-,-,-
hektograf,-,-
hektogram,-,-
hektokorn,-,-
hektoliter,-,-
hektometer,-,-
hela,-,-
helaan,-,-
he.lah,→ helat,
helai,-,-
helaian,-,-
helat,-,-
heldentenor,-,-
helektit,-,-
helicak,-,-
helikonia,-,-
helikopter,-,-
helikopter ambulans,"helikopter untuk mengangkut orang sakit, terluka, dan memberikan bantuan kesehatan",
helikopter angkut,"helikopter yang digunakan untuk mengangkut barang, helikopter kargo",
helikopter kargo,helikopter angkut,
helikopter pengangkut taktis,"helikopter militer yang dipersenjatai untuk mengangkut pasukan, kendaraan tempur kecil, dan berbagai benda",
helikopter penyemprot air,helikopter bertangki air untuk memadamkan kebakaran hutan,
helikopter serang,"helikopter untuk menyerang, dilengkapi dengan senjata, rudal, dan sebagainya, helikopter tempur",
helikopter serbaguna,"helikopter yang dapat digunakan untuk semua jenis operasi, seperti perpindahan personel, penyelamatan, atau pemadam kebakaran",
helikopter serbu,"helikopter serang, helikopter tempur",
helikopter tempur,"helikopter untuk bertempur, dilengkapi dengan senjata, rudal, dan sebagainya",
heliks,-,-
helimagnetisme,-,-
heling,-,-
heliofili,-,-
heliofilia,-,-
heliofit,-,-
heliofobi,-,-
heliofobia,-,-
heliograf,-,-
heliogram,-,-
heliometer,-,-
heliosentrik,-,-
heliosfer,-,-
helioskop,-,-
heliotaksis,-,-
helioterapi,-,-
heliotrop,-,-
heliotropisme,-,-
helipad,-,-
helisitas,-,-
helium,-,-
helm,-,-
hel.met,→ helm,
helmintiasis,-,-
helmintofobia,-,-
helmintologi,-,-
helong,-,-
hem,-,-
hemafobia,-,-
hemaglutinin,-,-
hemartrosis,-,-
hemat,-,-
"hemat pangkal kaya, rajin pangkal pandai","orang yang hidup hemat akan menjadi kaya, orang rajin belajar akan menjadi pandai",
hematemesis,-,-
hematin,-,-
hematit,-,-
hematite,-,-
hematofobia,-,-
hematokel,-,-
hematokezia,-,-
hematokrit,-,-
hematolog,-,-
hematologi,-,-
hematologik,-,-
hematom,-,-
hematometra,-,-
hematuri,-,-
hembak,-,-
hembalang,-,-
hem.bus,→ embus (2),
hemeralopi,-,-
hemi-,-,-
hemian,-,-
hemiasetal,-,-
hemifili,-,-
hemihedral,-,-
hemiholohedral,-,-
hemikordat,-,-
hemiplegia,-,-
hemiptera,-,-
hemiselulosa,-,-
hemisfer,-,-
hemoaglutinasi,-,-
hemodialisis,-,-
hemodilusi,-,-
hemodinamika,-,-
hemofilia,-,-
hemofilia a,-,-
hemofilia b,-,-
hemofilia klasik,-,-
hemofiliak,-,-
hemofilik,-,-
hemofobia,-,-
hemoglobin,-,-
hemoglobin abnormal,hemoglobin yang berbeda dengan hemoglobin biasa (normal) dalam urutan asam amino,
hemogram,-,-
hemokromatosis,-,-
hemolakria,-,-
hemolisin,-,-
hemolisis,-,-
hemopatologi,-,-
hemopoiesis,-,-
hemoptisis,-,-
hemoragi,-,-
hemoragik,-,-
hemoroid,-,-
hemosianin,-,-
hemosiderin,-,-
hemosit,-,-
hemositometer,-,-
hemospermia,-,-
hemostasis,-,-
hemostatik,-,-
hempap,-,-
hem.pas,→ empas,
hempasan,-,-
hen tecahi yo onomi t'mar ni hanased,-,-
hena,-,-
hendak,-,-
hendak akan,hendakkan,
hendak berminyak-minyak air,memuji-muji seseorang sesudah orang itu difitnah dan dicemarkan namanya,
hendak kan,ingin akan memiliki (mengambil dan sebagainya),
"hendak megah, berlawan lebih",makin banyak musuh makin besar kemasyhurannya,
"hendak menangguk ikan, tertangguk batang","mengharapkan untung, tetapi yang diperoleh kerugian",
"hendak menggaruk, tidak berkuku","hendak berbuat sesuatu, tetapi tidak berkemampuan",
"hendak mulia, bertabur urai","jika orang ingin mendapatkan kemuliaan atau ingin mulia di mata orang lain, hendaklah berani mengeluarkan uang, jangan kikir",
"hendak panjang, terlalu patah",yang suka meninggikan diri akan cepat jatuh,
"hendak terbang, tiada bersayap","hendak berbuat sesuatu, tetapi tidak ada sarana",
"hendak ulam, pucuk menjulai (pucuk dicinta ulam tiba)",mendapat sesuatu yang lebih daripada yang dikehendaki,
hendaklah,-,-
hen.dam,→ andam (2),
hendaya,-,-
hendel,-,-
hendi,-,-
heng,-,-
hengit,-,-
hengkang,-,-
hening,-,-
henoteisme,-,-
henry,-,-
hentai,-,-
hen.tak,→ entak,
hentar,-,-
henti,-,-
henti jantung,-,-
henti napas,-,-
hentian,-,-
henyak,-,-
hepar,-,-
hepatitis,-,-
hepatitis alkoholik,-,-
hepatitis neonatal idiopatik,-,-
hepatoblastoma,-,-
hepatologi,-,-
hepatomegali,-,-
hepta-,-,-
heptagon,-,-
heptagonal,-,-
heptahedron,-,-
heptameter,-,-
heptana,-,-
heptarki,-,-
heptasiklik,-,-
heptosa,-,-
heraldik,-,-
heran,-,-
herba,-,-
herba tetes,"produk hasil fermentasi beragam tanaman obat, buah, dan sayuran yang penggunaannya dengan cara diteteskan ke dalam air minum",
herbal,-,-
herbalis,-,-
herbarium,-,-
herbisida,-,-
herbisida selektif,-,-
herbisida sisa,-,-
herbisida takselektif,-,-
herbivor,-,-
her.bi.vo.ra,→ herbivor,
herder,-,-
hereditas,-,-
herediter,-,-
heregistrasi,-,-
heresi,-,-
heriditer,-,-
hering,-,-
heringit,-,-
heritabilitas,-,-
herkules,-,-
hermafrodit,-,-
hermafroditisme,-,-
hermeneutika,-,-
hermes,-,-
her.me.tik,→ hermetis,
hermetis,-,-
hermiasi,-,-
hermitarium,-,-
hernia,-,-
hernia akuisita,-,-
hernia bawaan,-,-
hernia dapatan,-,-
hernia femoralis,-,-
hernia hiatal,-,-
hernia inguinalis,-,-
hernia inkarserata,-,-
hernia insisional,-,-
hernia kongenital,-,-
hernia pigastrika,-,-
hernia umbilikalis,-,-
herniografi,-,-
hernioplasti,-,-
herniotomi,-,-
hero,-,-
hero romantik,-,-
heroik,-,-
heroin,-,-
heroisme,-,-
herpes,-,-
herpes genital,→ herpes genitalis,
herpes genitalis,-,-
herpes simpleks,-,-
herpes simpleks genital,→ herpes genitalis,
herpes zoster,-,-
herpetofobia,-,-
herpetolog,-,-
herpetologi,-,-
hertz,-,-
hesperidin,-,-
het,-,-
hetero-,-,-
heteroatom,-,-
heterodin,-,-
heterodoks,-,-
heterofemi,-,-
heterofermentatif,-,-
heterofil,-,-
heterofit,-,-
heterofobia,-,-
heterogamet,-,-
heterogami,-,-
heterogen,-,-
heterogenitas,-,-
heterogenitas struktural,perbedaan tingkat upah buruh di negara yang sedang berkembang akan menimbulkan perbedaan pendapatan dalam masyarakat,
heterograf,-,-
heterografi,-,-
heterokatalitik,-,-
heteroklitus,-,-
heterokosmos,-,-
heterokromia,-,-
heterolisis,-,-
heteronim,-,-
heteronimi,-,-
heteronomi,-,-
heteronormatif,-,-
heteroploid,-,-
heteropolimer,-,-
heteropolisakarida,-,-
heteroseksual,-,-
heteroseksualitas,-,-
heterosfer,-,-
heterosiklis,-,-
heterosis,-,-
heterospora,-,-
heterospori,-,-
heterostili,-,-
heterotrof,-,-
heterotropik,-,-
heterozigot,-,-
heuristik,-,-
heuristis,-,-
hewan,-,-
hewan lumut,"hewan yang tergolong filum Endoprocta berukuran kecil, hidup dalam koloni atau sendiri-sendiri",
hewan mentari,"hewan bersel satu, bangsa Helizoa, berkaki semu banyak yang langsing dan kaku, membentuk jari-jari dari bagian tengah serta terlihat seperti matahari",
hewan piaraan,hewan yang dipiara untuk kesenangan atau untuk dibudidayakan,
hewan potong,"hewan yang dipiara khusus untuk disembelih, ternak sembelihan",
hewani,-,-
hg,-,-
hgb,-,-
hgu,-,-
hi,-,-
hia,-,-
hialin,-,-
hialit,-,-
hias,-,-
hiasan,-,-
hiasan buku,"pola yang dikerjakan pada kulit buku, kadang-kadang dibuat dengan tinta emas atau diukir dengan bentuk yang menarik",
